Название,Ссылка,Габариты(ширина),Габариты(глубина),Габариты(высота),Спальная ширина,Спальная глубина,Механизм,Бельевой ящик,Наполнитель,Материал каркаса,Ткань,Подлокотники,Декоративные подушки,Срок службы(годы),Гарантия(месяцы),Конфигурация,Вес(кг),Нагрузка(кг),Цена(рубли)
Диван NORD 2.0 велюр Monolit аква,https://mnogomebeli.com/divany/divany-krovati/divan-nord-monolit/!divan-nord-velyur-monolit-akva/,240,101,82,196,134,Еврокнижка,Да,"ППУ, независимые пружины","фанера, древесные плиты",велюр Monolit,Да,нет,10,18,Прямой,115,240,26999
Угловой диван Атланта НПБ рогожка Malmo серый,https://mnogomebeli.com/divany/uglovye-divany/uglovoy-divan-atlanta-npb-rogozhka-malmo/!uglovoy-divan-atlanta-npb-rogozhka-malmo-seraya/,255,160,92,200,140,Дельфин,Да,"ППУ, независимые пружины","фанера, древесные плиты",рогожка Malmo,Да,нет,10,18,Угловой,143,240,29999
Диван BOSS 2.0 велюр Monolit латте,https://mnogomebeli.com/divany/pryamye-divany/divan-boss-velyur-monolit/!divan-boss-se-velyur-monolit-latte/,235,110,89,200,150,Еврокнижка,Да,"ППУ, независимые пружины","фанера, древесные плиты",велюр Monolit,Да,1,10,36,Прямой,137,240,39999
Диван Мадрид 2.0 Лайт велюр Monolit роуз,https://mnogomebeli.com/divany/pryamye-divany/divan-madrid-layt-monolit/!divan-madrid-2-0-layt-velyur-monolit-rouz/,190,82,92,190,130,Еврокнижка,Да,ППУ,"фанера, древесные плиты",велюр Monolit,Да,нет,10,18,Прямой,59,240,16999
Диван Dandy MINI SE рогожка Malmo серый,https://mnogomebeli.com/divany/pryamye-divany/divan-dandy-mini-rogozhka-malmo/!divan-dandy-mini-rogozhka-malmo-seryy/,200,100,92,200,150,Еврокнижка,Да,"ППУ, независимые пружины","фанера, древесные плиты",рогожка Malmo,Да,нет,10,18,Прямой,99,240,22999
Диван KING SE шенилл IQ кварц,https://mnogomebeli.com/divany/pryamye-divany/divan-king-shenill-iq/!divan-king-se-shenill-iq-kvarts/,250,115,82,200,155,Еврокнижка,Да,"ППУ, независимые пружины","фанера, древесные плиты",шенилл IQ,Да,4,10,36,Прямой,145,240,59999
Диван Астон NEW велюр Monolit маст,https://mnogomebeli.com/divany/divan-aston/divan-aston-velyur-monolit/!divan-aston-shenill-velyur-monolit-mast/,219,92,90,190,140,Over Step 2.0,Да,"ППУ, пружины змейка","фанера, древесные плиты",велюр Monolit,Да,нет,10,18,Прямой,110,240,29999
Диван Атланта Люкс SE рогожка Malmo серый,https://mnogomebeli.com/divany/pryamye-divany/atlanta-malmo/!atlanta-malmo-grey/,223,98,87,190,130,Еврокнижка,Да,"ППУ, пружины змейка","фанера, древесные плиты",рогожка Malmo,Да,нет,10,18,Прямой,100,240,18999
Угловой диван BOSS 3.0 MAX велюр Alkantara серый,https://mnogomebeli.com/divany/uglovye-divany/boss-max-velyur-alkantara/!uglovoy-divan-boss-max-velyur-alkantara-seraya/,338,183,93,300,150,Еврокнижка,Да,"ППУ, независимые пружины","фанера, древесные плиты",велюр Алькантара,Да,2,10,36,Угловой,209,240,59999
Диван Престон 2.0 велюр Monolit латте,https://mnogomebeli.com/divany/preston/preston-monolit/!divan-preston-se-velyur-monolit-latte/,235,104,93,200,137,Еврокнижка,Да,"ППУ, независимые пружины","фанера, древесные плиты",велюр Monolit,Да,нет,10,18,Прямой,106,240,27999
Диван Кёльн SE рогожка Malmo синий,https://mnogomebeli.com/divany/pryamye-divany/divan-kyeln-rogozhka-malmo/!divan-kyeln-rogozhka-malmo-siniy/,218,98,85,192,132,Еврокнижка,Да,"ППУ, пружины змейка","фанера, древесные плиты",рогожка Malmo,Да,нет,10,18,Прямой,97,240,18999
"Диван Ричмонд SE Monolit латте, Monolit аква",https://mnogomebeli.com/divany/divan-richmond/divan-richmond-monolit/!divan-richmond-se-monolit-sand-monolit-latte/,243,115,82,200,155,Еврокнижка,Да,"ППУ, независимые пружины","фанера, древесные плиты",велюр Monolit,Да,3,10,18,Прямой,141,240,36999
Тахта Ирис велюр Monolit аква,https://mnogomebeli.com/divany/takhta-iris/takhta-iris/!takhta-iris-velyur-monolit-akva/,196,89,81,190,82,Еврокнижка,Да,"ППУ, независимые пружины","фанера, древесные плиты",велюр Monolit,Да,нет,10,18,Прямой,90,240,22999
"Дубай У 3.0 Monolit серый, Monolit синий",https://mnogomebeli.com/divany/uglovye-divany/uglovoy-divan-dubay-monolit/!uglovoy-divan-dubay-monolit-seryy-monolit-siniy/,300,155,87,240,150,Еврокнижка,Да,"ППУ, независимые пружины","фанера, древесные плиты",велюр Monolit,Да,2,10,18,Угловой,177,240,39999
Угловой диван BOSS 3.0 XL велюр Alkantara шоколад,https://mnogomebeli.com/divany/uglovye-divany/uglovoy-divan-boss-xl-alkantara/!uglovoy-divan-boss-xl-velyur-alkantara-shokolad/,285,156,96,225,150,Еврокнижка,Да,"ППУ, независимые пружины","фанера, древесные плиты",велюр Алькантара,Да,2,10,36,Угловой,197,240,54999
Диван ТОМАС 160 велюр Alkantara пепел,https://mnogomebeli.com/divany/tomas/divan-tomas-160-alkantara/!divan-tomas-160-velyur-alkantara-pepel/,184,116,90,160,208,Аккордеон,Нет,ППУ,Металлокаркас + ламели,велюр Алькантара,Да,2,10,18,Прямой,197,240,38999
"Дубай У 3.0 рогожка Malmo платина, рогожка Vento муссон",https://mnogomebeli.com/divany/divany-krovati/uglovoy-divan-dubay-rogozhka-malmo/!dubay-u-3-0-rogozhka-malmo-platina-rogozhka-vento-musson/,300,155,87,240,150,Еврокнижка,Да,"ППУ, независимые пружины","фанера, древесные плиты",рогожка Malmo,Да,2,10,18,Угловой,177,240,36999
Угловой диван BOSS 3.0 MAX рогожка Malmo серый,https://mnogomebeli.com/divany/uglovye-divany/boss-max-rogozhka-malmo/!uglovoy-divan-boss-max-rogozhka-malmo-seryy/,338,183,93,300,150,Еврокнижка,Да,"ППУ, независимые пружины","фанера, древесные плиты",рогожка Malmo,Да,2,10,36,Угловой,209,240,48999
Диван BOSS GRAND Велюр Monolit сталь,https://mnogomebeli.com/divany/divany-krovati/boss-grand-velyur-monolit/!divan-boss-grand-velyur-monolit-stal/,339,108,90,300,150,Еврокнижка,Да,"ППУ, независимые пружины","фанера, древесные плиты",велюр Monolit,Да,2,10,36,Прямой,209,240,59999
